!MOLECULE
CS  spectroscopy from CDMS
!MOLECULAR WEIGHT
44.1
!NUMBER OF ENERGY LEVELS
31
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
   1       0.0000       1        0
   2       1.6342       3        1
   3       4.9025       5        2
   4       9.8048       7        3
   5      16.3411       9        4
   6      24.5113      11        5
   7      34.3152      13        6
   8      45.7525      15        7
   9      58.8231      17        8
  10      73.5267      19        9
  11      89.8631      21        10
  12     107.8318      23        11
  13     127.4326      25        12
  14     148.6650      27        13
  15     171.5287      29        14
  16     196.0232      31        15
  17     222.1480      33        16
  18     249.9025      35        17
  19     279.2864      37        18
  20     310.2989      39        19
  21     342.9395      41        20
  22     377.2075      43        21
  23     413.1023      45        22
  24     450.6231      47        23
  25     489.7693      49        24
  26     530.5400      51        25
  27     572.9344      53        26
  28     616.9517      55        27
  29     662.5911      57        28
  30     709.8516      59        29
  31     758.7324      61        30
!NUMBER OF RADIATIVE TRANSITIONS
30
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1     1.749e-6        48.9909549       2.4
    2     3     2     1.679e-5        97.9809533       7.1
    3     4     3     6.071e-5       146.9690287      14.1
    4     5     4     1.492e-4       195.9542109      23.5
    5     6     5     2.981e-4       244.9355565      35.3
    6     7     6     5.230e-4       293.9120865      49.4
    7     8     7     8.395e-4       342.8828503      65.8
    8     9     8     1.263e-3       391.8468898      84.6
    9    10     9     1.810e-3       440.8032320     105.8
   10    11    10     2.496e-3       489.7509210     129.3
   11    12    11     3.336e-3       538.6889972     155.2
   12    13    12     4.346e-3       587.6164850     183.4
   13    14    13     5.541e-3       636.5324600     213.9
   14    15    14     6.938e-3       685.4359238     246.8
   15    16    15     8.550e-3       734.3259290     282.1
   16    17    16     1.039e-2       783.2015140     319.6
   17    18    17     1.249e-2       832.0617177     359.6
   18    19    18     1.484e-2       880.9055792     401.9
   19    20    19     1.747e-2       929.7321250     446.5
   20    21    20     2.040e-2       978.5404329     493.4
   21    22    21     2.363e-2      1027.3295036     542.8
   22    23    22     2.719e-2      1076.0983895     594.4
   23    24    23     3.108e-2      1124.8461302     648.4
   24    25    24     3.533e-2      1173.5717653     704.7
   25    26    25     3.994e-2      1222.2743346     763.4
   26    27    26     4.494e-2      1270.9528779     824.4
   27    28    27     5.033e-2      1319.6064353     887.7
   28    29    28     5.614e-2      1368.2340470     953.4
   29    30    29     6.238e-2      1416.8347531    1021.4
   30    31    30     6.907e-2      1465.4075940    1091.7
!NUMBER OF COLL PARTNERS
1
!COLLISIONS BETWEEN
1 CS-H2  scaled from CS-He (Lique et al. 2006)
!NUMBER OF COLL TRANS
465
!NUMBER OF COLLISION TEMPERATURES
16
!COLL TEMPS
      10      20      40      60      80     100     120     140     160     180     200     220     240     260     280     300
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1     3.46e-11     2.36e-11     3.24e-11     2.19e-11     3.52e-11     1.56e-11     4.99e-11     3.63e-11     3.52e-11     1.24e-11     3.21e-11     3.46e-11     1.52e-11     3.97e-11     2.98e-11     3.27e-11
    2     3     1     3.33e-11     5.69e-12     4.19e-11     3.62e-11     3.77e-11     1.80e-11     5.85e-11     3.42e-11     2.60e-11     1.85e-11     1.13e-11     5.49e-11     5.44e-11     1.29e-11     4.24e-11     1.94e-11
    3     3     2     1.69e-11     3.57e-11     1.59e-11     3.00e-11     2.57e-11     7.05e-11     4.89e-11     7.93e-11     5.60e-11     7.06e-11     7.00e-11     5.68e-11     5.51e-11     8.38e-11     4.71e-11     6.66e-11
    4     4     1     6.03e-12     4.32e-12     4.82e-12     3.53e-12     4.46e-12     4.86e-12     2.98e-12     2.47e-12     9.31e-12     4.93e-12     7.53e-12     8.78e-12     2.08e-12     6.92e-12     1.36e-11     4.80e-12
    5     4     2     2.86e-11     5.23e-11     4.87e-14     2.64e-11     4.93e-11     2.84e-11     4.45e-11     4.27e-12     8.41e-11     2.14e-11     4.68e-11     4.88e-11     2.94e-11     3.39e-11     9.14e-11     1.35e-11
    6     4     3     1.99e-11     2.58e-11     4.02e-11     9.50e-11     7.90e-11     1.59e-11     5.23e-11     5.55e-11     5.46e-11     1.95e-11     3.25e-11     6.17e-11     6.50e-11     8.65e-11     4.51e-11     4.74e-11
    7     5     1     3.85e-12     5.22e-12     4.57e-12     4.42e-12     9.86e-12     7.41e-12     8.91e-12     9.98e-12     5.14e-12     6.58e-12     1.48e-11     7.25e-12     8.83e-12     1.63e-11     7.48e-12     8.07e-12
    8     5     2     2.29e-11     1.39e-11     6.76e-12     7.95e-12     1.08e-11     1.19e-11     2.15e-11     1.92e-11     1.07e-11     8.91e-12     4.16e-13     1.03e-11     9.75e-12     1.24e-11     2.21e-11     5.50e-12
    9     5     3     2.70e-11     3.83e-12     6.24e-11     6.29e-11     3.63e-11     5.35e-11     8.14e-11     3.89e-11     4.66e-11     6.21e-11     5.18e-11     3.38e-11     8.58e-11     1.40e-11     1.26e-10     8.38e-11
   10     5     4     5.72e-11     1.12e-10     2.32e-11     5.41e-11     3.12e-11     6.19e-11     5.54e-11     7.84e-11     6.69e-11     5.23e-11     4.42e-11     4.51e-11     1.53e-11     6.90e-11     4.18e-11     1.29e-11
   11     6     1     2.44e-13     1.42e-12     3.95e-12     2.15e-12     2.35e-12     1.21e-12     1.59e-12     3.00e-12     2.19e-12     5.05e-13     6.89e-13     4.05e-12     8.90e-13     4.42e-12     2.93e-12     3.20e-12
   12     6     2     1.35e-11     6.61e-12     1.39e-11     5.89e-12     1.38e-11     8.96e-12     1.56e-11     4.32e-12     1.12e-11     1.52e-11     1.47e-11     1.09e-11     1.28e-11     3.35e-12     2.03e-11     2.92e-11
   13     6     3     2.11e-11     1.23e-11     1.43e-11     1.57e-11     1.43e-11     1.21e-11     2.76e-11     1.56e-11     2.98e-11     1.31e-11     3.05e-11     2.51e-11     3.35e-11     2.39e-11     1.74e-11     3.98e-11
   14     6     4     4.98e-11     6.44e-11     4.40e-11     3.91e-11     3.12e-11     4.42e-11     1.01e-10     4.42e-11     8.11e-11     4.07e-11     7.79e-11     8.85e-12     8.25e-11     5.34e-11     1.01e-10     8.38e-11
   15     6     5     4.71e-11     7.30e-11     6.31e-11     6.69e-11     8.90e-11     6.90e-11     7.48e-11     6.22e-11     9.96e-13     7.25e-11     1.12e-10     3.63e-11     2.64e-11     2.11e-11     6.35e-11     4.91e-11
   16     7     1     1.15e-12     1.19e-12     1.00e-12     1.35e-12     1.01e-12     2.51e-13     3.57e-12     2.23e-12     7.90e-13     4.45e-12     3.87e-12     2.88e-12     4.01e-12     7.75e-12     4.22e-12     5.77e-12
   17     7     2     1.82e-12     4.84e-12     3.75e-12     2.62e-12     8.34e-12     3.72e-12     8.22e-12     9.22e-12     9.74e-12     1.17e-11     5.11e-12     1.44e-11     7.56e-12     3.01e-12     1.28e-11     3.37e-12
   18     7     3     1.70e-11     1.08e-11     3.58e-12     1.08e-11     1.02e-11     1.77e-11     1.71e-11     1.08e-11     1.22e-11     1.65e-11     1.16e-11     2.52e-11     2.90e-11     5.32e-11     2.21e-11     4.26e-11
   19     7     4     1.34e-11     6.19e-12     1.46e-11     2.72e-11     4.91e-12     2.72e-11     3.44e-11     6.49e-12     2.43e-11     1.41e-11     4.01e-11     3.46e-11     3.79e-11     1.94e-11     3.21e-11     4.36e-11
   20     7     5     5.91e-11     6.09e-11     2.82e-11     5.48e-11     6.23e-11     6.93e-11     6.59e-11     1.06e-10     1.47e-11     6.34e-11     3.87e-11     3.91e-11     4.87e-11     8.67e-11     1.04e-10     8.25e-11
   21     7     6     5.08e-11     7.76e-11     3.03e-11     7.86e-11     4.59e-11     6.59e-11     6.89e-11     8.04e-11     1.10e-10     8.19e-11     5.86e-11     2.43e-11     2.72e-11     1.11e-10     8.41e-11     2.41e-11
   22     8     1     4.04e-13     9.47e-13     1.07e-12     2.49e-12     5.22e-13     1.11e-12     7.73e-13     1.17e-12     2.08e-12     2.69e-12     3.56e-12     3.09e-12     3.08e-12     9.34e-13     1.65e-12     2.30e-12
   23     8     2     2.53e-12     2.43e-12     2.83e-12     5.71e-13     5.02e-12     6.13e-12     7.97e-12     6.18e-12     3.20e-12     4.62e-12     1.12e-11     4.61e-12     5.02e-12     5.14e-12     8.84e-12     6.57e-12
   24     8     3     1.05e-11     6.49e-12     1.03e-11     1.46e-11     7.04e-13     6.46e-12     5.03e-13     1.16e-11     5.20e-12     7.07e-12     9.50e-12     1.16e-11     1.23e-11     1.80e-11     2.11e-11     1.36e-11
   25     8     4     3.24e-12     1.09e-12     1.62e-11     9.36e-13     1.67e-11     2.45e-11     2.79e-11     1.16e-11     2.75e-11     2.27e-11     1.99e-11     1.15e-11     3.43e-11     3.25e-11     2.51e-11     6.40e-12
   26     8     5     1.37e-11     3.06e-11     1.98e-11     2.54e-11     3.16e-11     3.15e-11     2.52e-11     6.26e-12     2.54e-11     1.35e-11     2.33e-11     5.39e-13     2.29e-11     3.60e-11     4.42e-11     3.58e-11
   27     8     6     7.55e-11     6.56e-11     6.73e-12     9.63e-11     9.38e-11     6.53e-11     8.36e-11     4.18e-11     7.12e-11     7.31e-11     6.49e-11     7.49e-11     4.17e-11     8.85e-11     8.96e-11     1.37e-10
   28     8     7     4.15e-11     1.44e-11     8.58e-11     7.13e-11     5.47e-11     7.99e-11     6.92e-11     9.17e-11     5.59e-11     5.59e-12     8.36e-11     5.76e-11     3.90e-11     2.85e-11     4.70e-11     9.42e-11
   29     9     1     1.02e-12     6.86e-13     2.93e-13     1.29e-12     1.89e-12     2.73e-12     1.12e-12     1.74e-12     1.85e-12     4.55e-13     2.23e-12     2.25e-12     8.26e-13     2.99e-12     6.87e-13     2.34e-13
   30     9     2     2.10e-12     1.32e-12     2.24e-12     1.34e-12     2.24e-12     4.50e-12     9.69e-13     2.37e-12     6.54e-12     4.91e-12     5.17e-12     3.78e-12     3.54e-12     5.11e-12     2.85e-12     6.24e-12
   31     9     3     9.54e-12     7.26e-12     6.76e-12     1.81e-12     3.04e-12     6.71e-12     6.19e-12     6.11e-12     9.39e-12     2.35e-12     1.01e-11     1.46e-11     1.27e-11     5.23e-12     7.12e-12     5.54e-12
   32     9     4     2.53e-12     1.73e-11     5.27e-12     1.19e-11     1.95e-11     1.19e-11     6.35e-12     1.52e-11     6.91e-12     1.16e-11     6.31e-12     2.26e-11     1.55e-11     1.90e-11     4.33e-12     1.23e-11
   33     9     5     1.33e-11     1.79e-11     1.89e-11     2.59e-11     3.82e-12     2.63e-11     3.11e-11     2.78e-11     1.46e-11     3.77e-11     2.28e-11     2.57e-11     2.32e-11     3.77e-11     1.82e-11     4.91e-11
   34     9     6     7.42e-12     3.68e-11     7.77e-12     8.56e-12     3.22e-11     1.43e-11     2.88e-11     1.23e-11     1.53e-11     1.79e-11     1.66e-11     6.90e-13     2.84e-11     3.63e-11     1.10e-11     1.17e-11
   35     9     7     1.44e-11     2.49e-11     7.94e-11     7.45e-11     6.24e-11     5.64e-11     2.14e-11     1.01e-10     8.01e-11     1.13e-10     1.04e-10     5.66e-11     6.81e-11     8.56e-11     1.26e-10     1.09e-10
   36     9     8     4.20e-11     1.99e-11     7.69e-11     1.23e-10     1.36e-11     9.79e-11     7.07e-11     9.32e-11     5.56e-11     6.27e-11     6.41e-11     9.04e-11     2.44e-11     6.33e-11     4.33e-11     2.29e-11
   37    10     1     3.70e-13     6.71e-14     5.42e-13     7.77e-13     5.49e-13     3.55e-13     7.31e-13     1.52e-12     1.76e-12     1.27e-12     1.33e-12     1.70e-12     1.45e-12     8.84e-13     8.68e-13     1.64e-12
   38    10     2     2.21e-12     2.14e-12     1.62e-12     3.11e-12     2.11e-12     3.29e-12     1.45e-12     5.15e-12     6.07e-12     5.19e-12     1.11e-12     4.58e-12     5.05e-12     2.85e-13     5.26e-12     3.45e-12
   39    10     3     1.15e-12     6.28e-13     6.27e-12     5.60e-12     4.11e-13     4.95e-12     4.95e-12     1.10e-11     4.96e-12     6.56e-12     6.83e-12     9.92e-12     6.55e-12     8.55e-12     1.31e-11     8.25e-12
   40    10     4     1.21e-11     6.74e-12     8.54e-12     8.73e-12     6.34e-12     3.70e-12     1.20e-11     1.49e-11     1.52e-11     1.62e-11     1.72e-11     7.01e-12     1.35e-11     2.10e-12     1.45e-11     9.52e-12
   41    10     5     5.72e-12     1.72e-11     7.46e-12     2.01e-11     6.59e-12     1.61e-11     1.40e-11     7.61e-12     1.59e-11     5.99e-12     1.79e-11     2.59e-11     2.24e-11     6.16e-12     7.32e-13     5.30e-12
